Yes, We should deprecate ConnectionManager in before removing it in Deprecate NIO ConnectionManager
Yes, What StringIndexerInverse does is not strictly associated with StringIndexer and the name is not super clear Rename StringIndexerInverse to IndexToString
Yes, This requires some discussion I m not sure whether runs is a useful parameter It certainly complicates the implementation We might want to optimize the k means implementation with block matrix operations In this case having runs may not be worth the trade offs Remove runs from KMeans under the pipeline API
Yes, There exists a chance that the prefixes keep growing to the maximum pattern length Then the final local processing step becomes unnecessary Skip local processing in PrefixSpan if there are no small prefixes
Yes, parquet mr fixed several issues that affect Spark For example PARQUET SPARK Upgrade parquet mr to
Yes, The utilities such as Substring substringBinarySQL and BinaryPrefixComparator computePrefix for binary data are put together in ByteArray for easy to read Move utilities for binary data into ByteArray
Yes, PlatformDependent UNSAFE is way too verbose Rename PlatformDependent UNSAFE Platform
Yes, I took a look at the commit messages in git log it looks like the individual commit messages are not that useful to include but do make the commit messages more verbose They are usually just a bunch of extremely concise descriptions of bug fixes merges etc See mailing list discussions http apache spark developers list n nabble com discuss Removing individual commit messages from the squash commit message td html Remove individual commit messages from the squash commit message
Yes, Add Python API user guide and example for ml regression IsotonicRegression Add Python API for ml regression IsotonicRegression
Yes, Add Python API for MultilayerPerceptronClassifier Add Python API for MultilayerPerceptronClassifier
Yes, Add Python API user guide and example for ml feature CountVectorizerModel Add Python API for ml feature CountVectorizer
Yes, We introduced the Netty network module for shuffle in Spark and has turned it on by default for releases The old ConnectionManager is difficult to maintain It s time to remove it Remove ConnectionManager
No, Check and add miss docs for PySpark ML this issue only check miss docs for o a s ml not o a s mllib check and add missing docs for PySpark ML
Yes, see discussion here https github com apache spark pull issuecomment Improve performance of Decimal times and casting from integral
Yes, TypeCheck no longer applies in the new Tungsten world Remove TypeCheck in debug package
Yes, In https github com apache spark pull we added FromUnsafe to convert nexted unsafe data like array map struct to safe versions It s a quick solution and we already have GenerateSafe to do the conversion which is codegened So we should remove FromUnsafe and implement its codegen version in GenerateSafe remove FromUnsafe and add its codegen version to GenerateSafe
Yes, JoinedRow anyNull currently loops through every field to check for null which is inefficient if the underlying rows are UnsafeRows It should just delegate to the underlying implementation JoinedRow anyNull should delegate to the underlying rows
No, All data sources show up as PhysicalRDD in physical plan explain It d be better if we can show the name of the data source Existing Improve explain message for data source scan node
No, To identify potential API issues list public API changes which affect binary and source incompatibility by using command Report result attached List Binary and Source Compatibility Issues with japi compliance checker
Yes, This JIRA is for making several ML APIs public to make it easier for users to write their own Pipeline stages Issue brought up by eronwright Descriptions below copied from http apache spark developers list n nabble com Make ML Developer APIs public post td html We plan to make these APIs public in Spark However they will be marked DeveloperApi and are very likely to be broken in the future VectorUDT To define a relation with a vector field VectorUDT must be instantiated Identifiable trait The trait generates a unique identifier for the associated pipeline component Nice to have a consistent format by reusing the trait ProbabilisticClassifier Third party components should leverage the complex logic around computing only selected columns We will not yet make these public SchemaUtils Third party pipeline components have a need for checking column types and appending columns This will probably be moved into Spark SQL Users can copy the methods into their own as needed Make some ML APIs public VectorUDT Identifiable ProbabilisticClassifier
Yes, Consider SortMergeJoin which requires a sorted clustered distribution of its input rows Say that both of SMJ s children produce unsorted output but are both single partition In this case we will need to inject sort operators but should not need to inject exchanges Unfortunately it looks like the Exchange unnecessarily repartitions using a hash partitioning We should update Exchange so that it does not unnecessarily repartition children when only the ordering requirements are unsatisfied I d like to fix this for Spark since it makes certain types of unit tests easier to write EnsureRequirements should not add unnecessary shuffles when only ordering requirements are unsatisfied
Yes, Previously we use MB as the default page size which was way too big for a lot of Spark applications especially for single node This patch changes it so that the default page size if unset by the user is determined by the number of cores available and the total execution memory available Pick default page size more intelligently
Yes, Add feature interaction as a transformer which takes a list of vector double columns and generate a single vector column that contains the interactions multiplication among them with proper handling of feature names Add feature interaction as a transformer
Yes, Eg currently we can do up to sorts within a task During the aggregation During a sort on the same key During the shuffle In environments with tight memory restrictions the first operator may acquire so much memory such that the subsequent ones in the same task are starved A simple fix is to reserve at least a page in advance in each of these places The reserved page size need not be the same as the normal page size This is a sister problem to SPARK in Spark Core Reserve a page in all unsafe operators to avoid starving an operator
Yes, A small performance optimization we don t need to generate a Tuple and then immediately discard the key We also don t need an extra wrapper Remove SqlNewHadoopRDD s generated Tuple and InterruptibleIterator
Yes, It is subsumed by the new aggregate implementation Remove GeneratedAggregate
Yes, GenerateUnsafeProjection can be used directly as a code generated serializer We no longer need SparkSqlSerializer Remove SparkSqlSerializer in favor of Unsafe exchange
Yes, Currently we don t support using DecimalType with precision in new unsafe aggregation it s good to support it Support update DecimalType with precision in UnsafeRow
Yes, In many modeling application data points are not necessarily sampled with equal probabilities Linear regression should support weighting which account the over or under sampling LinearRegression should supported weighted data
Yes, update InternalRow toSeq to make it accept data type info
Yes, Spark s style checker should ban the use of Scala s JavaConversions which provides implicit conversions between Java and Scala collections types Instead we should be performing these conversions explicitly using JavaConverters or forgoing the conversions altogether if they re occurring inside of performance critical code Ban use of JavaConversions and migrate all existing uses to JavaConverters
Yes, Add StreamingContext getActiveOrCreate to python API
No, This is an epic for Spark release QA plans for tracking various components Spark Testing Plan
Yes, See http apache spark developers list n nabble com Re Should spark ec get its own repo td html for more details Move spark ec from mesos to amplab
Yes, remove the createCode and createStructCode and replace the usage of them by createStructCode
Yes, While reviewing yhuai s patch for SPARK I noticed that Exchange s compatible check may be incorrectly returning false in many cases As far as I know this is not actually a problem because the compatible meetsRequirements and needsAnySort checks are serving only as short circuit performance optimizations that are not necessary for correctness In order to reduce code complexity I think that we should remove these checks and unconditionally rewrite the operator s children This should be safe because we rewrite the tree in a single bottom up pass Remove compatibleWith meetsRequirements and needsAnySort checks from Exchange
Yes, They were added to improve performance so JIT can inline the JoinedRow calls However we can also just improve it by projecting output out to UnsafeRow in Tungsten variant of the operators Remove all extra JoinedRows
Yes, Remove UnsafeRowConverter in favor of UnsafeProjection
Yes, We should consolidate LocalScheduler and ClusterScheduler given most of the functionalities are duplicated in both This can be done by removing the LocalScheduler and create a LocalSchedulerBackend that connects directly to an Executor Consolidate local scheduler and cluster scheduler
Yes, It is a big change but it lets us use the type information to prevent accidentally passing internal types to external types Remove InternalRow s inheritance from Row
Yes, See SPARK We added varargs again Though it is technically correct it often requires that developers do clean assembly rather than not clean assembly which is a nuisance during development This JIRA will remove it for now pending a fix to the Scala compiler Params setDefault should not keep varargs annotation
Yes, Spark has an option called spark localExecution enabled according to the docs quote Enables Spark to run certain jobs such as first or take on the driver without sending tasks to the cluster This can make certain jobs execute very quickly but may require shipping a whole partition of data to the driver quote This feature ends up adding quite a bit of complexity to DAGScheduler especially in the runLocallyWithinThread method but as far as I know nobody uses this feature I searched the mailing list and haven t seen any recent mentions of the configuration nor stacktraces including the runLocally method As a step towards scheduler complexity reduction I propose that we remove this feature and all code related to it for Spark Remove DAGScheduler runLocallyWithinThread and spark localExecution enabled
Yes, A small change based on code review and offline discussion with dragos Removing unnecessary self types in Catalyst
Yes, As the new Parquet external data source matures we should remove the old Parquet support now Removes old Parquet support code
Yes, They are not very useful and cause problems with toString due to the order they are mixed in Remove LeafNode UnaryNode BinaryNode from TreeNode
Yes, The SparkContext constructor that takes preferredNodeLocalityData has not worked since before Spark Also the feature in SPARK is strictly better than a correct implementation of that feature We should remove any documentation references to that feature and print a warning when it is used saying it doesn t work Remove references to preferredNodeLocalityData in javadoc and print warning when used
Yes, It is unnecessary and makes the type hierarchy slightly more complicated than needed Remove ExtractValueWithOrdinal abstract class
Yes, Right now InternalRow is megamorphic because it has many different implementations We should work towards having only one or at most two InternalRow implementations Remove EmptyRow class
Yes, The type alias was there because initially when I moved Row around I didn t want to do massive changes to the expression code But now it should be pretty easy to just remove it One less concept to worry about Remove InternalRow type alias in expressions package
Yes, Based on discussion offline with marmbrus we should remove GenerateProjection Remove GenerateProjection
Yes, This will make it convenient for R users to use SparkR from their browsers Install and configure RStudio server on Spark EC
Yes, We should remove the existing ExpressionOptimizationSuite and update checkEvaluation to also run the optimizer version ExpressionEvalHelper checkEvaluation should also run the optimizer version
Yes, From my perspective as a code reviewer I find them more confusing than using String directly Remove Term Code type aliases in code generation
Yes, It s not a very useful type to use We can just remove it to simplify expressions slightly Remove EvaluatedType from SQL Expression
Yes, ExternalSorter contains a bunch of to move this functionality out of ExternalSorter and into a separate class which shares a common interface insertAll writePartitionedFile This is a stepping stone towards eventually removing this bypass path see SPARK Move hash style shuffle code out of ExternalSorter and into own file
Yes, Learnt a lesson from SPARK Spark should avoid to use scala concurrent ExecutionContext Implicits global because the user may submit blocking actions to scala concurrent ExecutionContext Implicits global and exhaust all threads in it This could crash Spark So Spark should always use its own thread pools for safety Remove import scala concurrent ExecutionContext Implicits global
Yes, Removed calling size length in while condition to avoid extra JVM call
Yes, We can just rewrite distinct using groupby i e aggregate operator Remove physical Distinct operator in favor of Aggregate
Yes, Removed diffSum which is theoretical zero in LinearRegression and coding formating
Yes, We want to change and improve the spark ml API for trees and ensembles but we cannot change the old API in spark mllib To support the changes we want to make we should move the implementation from spark mllib to spark ml We will generalize and modify it but will also ensure that we do not change the behavior of the old API There are several steps to this Copy the implementation over to spark ml and change the spark ml classes to use that implementation rather than calling the spark mllib implementation The current spark ml tests will ensure that the implementations learn exactly the same models Note This should include performance testing to make sure the updated code does not have any regressions UPDATE I have run tests using spark perf and there were no regressions Remove the spark mllib implementation and make the spark mllib APIs wrappers around the spark ml implementation The spark ml tests will again ensure that we do not change any behavior Move the unit tests to spark ml and change the spark mllib unit tests to verify model equivalence This JIRA is now for step only Steps and will be in separate JIRAs After these updates we can more safely generalize and improve the spark ml implementation Move tree forest implementation from spark mllib to spark ml
Yes, This maven repository is blocked in China We should get rid of that dependency so people in China can compile Spark Remove dependency on Twitter J repository
Yes, This is not always possible but whenever possible we should remove or reduce the differences between Pandas and Spark DataFrames in Python Improve DataFrame API compatibility with Pandas
Yes, This depends on some internal interface of Spark SQL should be done after merging into Spark DataFrame UDFs in R
Yes, Would be great to create APIs for external block stores rather than doing a bunch of if statements everywhere Create external block store API
Yes, Upgrade Tachyon dependency to
Yes, Deprecated configs are currently all strewn across the code base It would be good to simplify the handling of the deprecated configs in a central location to avoid duplicating the deprecation logic everywhere Centralize deprecated configs in SparkConf
Yes, Continue the discussion from the LDA PR CheckpoingDir is a global Spark configuration which should not be altered by an ML algorithm We could check whether checkpointDir is set if checkpointInterval is positive Remove setCheckpointDir from LDA and tree Strategy
Yes, This method survived the code review and it has been there since v It exposes jblas types Let s remove it from the public API I expect that no one calls it directly Hide ALS solveLeastSquares
Yes, toLocalIterator is available in Java and Scala If we add this functionality to Python then we can also be able to use PySpark to iterate over a dataset partition by partition Add toLocalIterator to pyspark rdd
Yes, Fix a todo in spark sql remove Command and use RunnableCommand instead Refactory command in spark sql
Yes, Remove unneeded staging repositories from build
Yes, mqtt client was removed from the Eclipse Paho repository and hence is breaking Spark build Upgrade MQTT dependency to use mqtt client
Yes, In this refactoring the performance is slightly increased by removing the overhead from breeze vector The bottleneck is still in breeze norm which is implemented by activeIterator This inefficiency of breeze norm will be addressed in next PR At least this PR makes the base Refactorize Normalizer to make code cleaner
Yes, In RDDSampler it try use numpy to gain better performance for possion but the number of call of random is only faction N in the pure python implementation of possion so there is no much performance gain from numpy numpy is not a dependent of pyspark so it maybe introduce some problem such as there is no numpy installed in slaves but only installed master as reported in xxxx It also complicate the code a lot so we may should remove numpy from RDDSampler remove numpy from RDDSampler of PySpark
Yes, For example YarnRMClient and YarnRMClientImpl can be merged YarnAllocator and YarnAllocationHandler can be merged Remove layers of abstraction in YARN code no longer needed after dropping yarn alpha
Yes, Due to vertex attribute caching EdgeRDD previously took two type parameters ED and VD However this is an implementation detail that should not be exposed in the interface so this PR drops the VD type parameter This requires removing the filter method from the EdgeRDD interface because it depends on vertex attribute caching Drop VD type parameter from EdgeRDD
No, With some of our more complicated modules I m not sure whether Intellij correctly understands all source locations Also we might require specifying some profiles for the build to work directly We should document clearly how to start with vanilla Spark master and get the entire thing building in Intellij Create instructions on fully building Spark in Intellij
Yes, We should upgrade snappy java to across all of our maintenance branches This release improves error messages when attempting to deserialize empty inputs using SnappyInputStream this operation is always an error but the old error messages made it hard to distinguish failures due to empty streams from ones due to reading invalid corrupted streams see https github com xerial snappy java issues for more context This should be a major help in the Snappy debugging work that I ve been doing Upgrade snappy java to
Yes, After Pyrolite release a new version with PR https github com irmen Pyrolite pull we should remove the workaround introduced in PR https github com apache spark pull remove workaround to pickle array of float for Pyrolite
